COUNTRY,COICOP_1999,TIME_PERIOD,OBS_VALUE
AUS,Aggregate,2024-Q2,138.8
AUS,Aggregate,2024-Q3,139.1
AUS,Aggregate,2024-Q4,139.4
AUS,Aggregate,2025-Q1,140.7
AUT,Aggregate,2016-Q1,92.59541666666667
AUT,Aggregate,2016-Q2,93.33519
AUT,Aggregate,2016-Q3,93.21189666666667
AUT,Aggregate,2016-Q4,94.07497
AUT,Aggregate,2017-Q1,94.47568333333333
AUT,Aggregate,2017-Q2,95.15381
AUT,Aggregate,2017-Q3,95.21546
AUT,Aggregate,2017-Q4,96.14018
AUT,Aggregate,2018-Q1,96.17100333333333
AUT,Aggregate,2018-Q2,97.00325
AUT,Aggregate,2018-Q3,97.24984333333333
AUT,Aggregate,2018-Q4,98.17456666666667
AUT,Aggregate,2019-Q1,97.8355
AUT,Aggregate,2019-Q2,98.63692333333333
AUT,Aggregate,2019-Q3,98.60610333333333
AUT,Aggregate,2019-Q4,99.46917666666667
AUT,Aggregate,2020-Q1,99.66666666666667
AUT,Aggregate,2020-Q2,99.66666666666667
AUT,Aggregate,2020-Q3,100
AUT,Aggregate,2020-Q4,100.6666666666667
AUT,Aggregate,2021-Q1,101
AUT,Aggregate,2021-Q2,102.1666666666667
AUT,Aggregate,2021-Q3,103.1333333333333
AUT,Aggregate,2021-Q4,104.7666666666667
AUT,Aggregate,2022-Q1,106.9
AUT,Aggregate,2022-Q2,110.2
AUT,Aggregate,2022-Q3,113.2333333333333
AUT,Aggregate,2022-Q4,115.8666666666667
AUT,Aggregate,2023-Q1,118.0333333333333
AUT,Aggregate,2023-Q2,119.9333333333333
AUT,Aggregate,2023-Q3,120.9333333333333
AUT,Aggregate,2023-Q4,122.1666666666667
AUT,Aggregate,2024-Q1,123.1
AUT,Aggregate,2024-Q2,123.8333333333333
AUT,Aggregate,2024-Q3,123.7666666666667
AUT,Aggregate,2024-Q4,124.5
AUT,Aggregate,2025-Q1,126.9666666666667
AZE,Aggregate,2016-Q1,130
AZE,Aggregate,2016-Q2,130.4666666666667
AZE,Aggregate,2016-Q3,131.1
AZE,Aggregate,2016-Q4,137.9666666666667
AZE,Aggregate,2017-Q1,147.1333333333333
AZE,Aggregate,2017-Q2,149.4666666666667
AZE,Aggregate,2017-Q3,149.2666666666667
AZE,Aggregate,2017-Q4,152.1666666666667
AZE,Aggregate,2018-Q1,153
AZE,Aggregate,2018-Q2,152.6
AZE,Aggregate,2018-Q3,152
AZE,Aggregate,2018-Q4,154
AZE,Aggregate,2019-Q1,156.2581436333333
AZE,Aggregate,2019-Q2,157.0872838666667
AZE,Aggregate,2019-Q3,156.3032550666667
AZE,Aggregate,2019-Q4,157.9175747333333
AZE,Aggregate,2020-Q1,160.8989524333333
AZE,Aggregate,2020-Q2,161.7244575666667
AZE,Aggregate,2020-Q3,160.5098684666667
AZE,Aggregate,2020-Q4,161.7526118333333
AZE,Aggregate,2021-Q1,167.0945108333333
AZE,Aggregate,2021-Q2,169.2496918
AZE,Aggregate,2021-Q3,171.8304675333333
AZE,Aggregate,2021-Q4,179.5980608666667
AZE,Aggregate,2022-Q1,187.4156663666667
AZE,Aggregate,2022-Q2,192.3156603333333
AZE,Aggregate,2022-Q3,196.7441739666667
AZE,Aggregate,2022-Q4,206.5692905
AZE,Aggregate,2023-Q1,213.2181682666667
AZE,Aggregate,2023-Q2,214.7128248333333
AZE,Aggregate,2023-Q3,211.4019955
AZE,Aggregate,2023-Q4,212.5056584666667
AZE,Aggregate,2024-Q1,215.2712936666667
AZE,Aggregate,2024-Q2,215.6376628666667
AZE,Aggregate,2024-Q3,218.2404922917423
AZE,Aggregate,2024-Q4,221.5333333333333
AZE,Aggregate,2025-Q1,227.2666666666667
BDI,Aggregate,2016-Q1,95.48791030734727
BDI,Aggregate,2016-Q2,97.87696927078947
BDI,Aggregate,2016-Q3,100.1806986133894
BDI,Aggregate,2016-Q4,102.3664200322007
BDI,Aggregate,2017-Q1,112.797623054689
BDI,Aggregate,2017-Q2,115.2545278101773
BDI,Aggregate,2017-Q3,114.4804273093587
BDI,Aggregate,2017-Q4,116.9333333333333
BDI,Aggregate,2018-Q1,113.5
BDI,Aggregate,2018-Q2,113.7666666666667
BDI,Aggregate,2018-Q3,110.8
BDI,Aggregate,2018-Q4,108.4666666666667
BDI,Aggregate,2019-Q1,109.4333333333333
BDI,Aggregate,2019-Q2,110.5666666666667
BDI,Aggregate,2019-Q3,110.4333333333333
BDI,Aggregate,2019-Q4,113.0333333333333
BDI,Aggregate,2020-Q1,116.7
BDI,Aggregate,2020-Q2,119.7333333333333
BDI,Aggregate,2020-Q3,117.7666666666667
BDI,Aggregate,2020-Q4,121.7333333333333
BDI,Aggregate,2021-Q1,124.4
BDI,Aggregate,2021-Q2,128.4333333333333
BDI,Aggregate,2021-Q3,129.8
BDI,Aggregate,2021-Q4,133.3
BDI,Aggregate,2022-Q1,140.0666666666667
BDI,Aggregate,2022-Q2,150.3666666666667
BDI,Aggregate,2022-Q3,155.5666666666667
BDI,Aggregate,2022-Q4,166.9333333333333
BDI,Aggregate,2023-Q1,181.9666666666667
BDI,Aggregate,2023-Q2,194.4666666666667
BDI,Aggregate,2023-Q3,197.7333333333333
BDI,Aggregate,2023-Q4,203.9
BDI,Aggregate,2024-Q1,211.8
BDI,Aggregate,2024-Q2,220.7
BDI,Aggregate,2024-Q3,237.4666666666667
BDI,Aggregate,2024-Q4,265.3666666666667
BEL,Aggregate,2016-Q1,101.9366666666667
BEL,Aggregate,2016-Q2,103.0066666666667
BEL,Aggregate,2016-Q3,103.2033333333333
BEL,Aggregate,2016-Q4,103.43
BEL,Aggregate,2017-Q1,104.62
BEL,Aggregate,2017-Q2,104.9766666666667
BEL,Aggregate,2017-Q3,105.16
BEL,Aggregate,2017-Q4,105.57
BEL,Aggregate,2018-Q1,106.2166666666667
BEL,Aggregate,2018-Q2,106.8733333333333
BEL,Aggregate,2018-Q3,107.53
BEL,Aggregate,2018-Q4,108.3366666666667
BEL,Aggregate,2019-Q1,108.5133333333333
BEL,Aggregate,2019-Q2,108.9033333333333
BEL,Aggregate,2019-Q3,108.78
BEL,Aggregate,2019-Q4,108.9233333333333
BEL,Aggregate,2020-Q1,109.6433333333333
BEL,Aggregate,2020-Q2,109.5
BEL,Aggregate,2020-Q3,109.67
BEL,Aggregate,2020-Q4,109.53
BEL,Aggregate,2021-Q1,110.23
BEL,Aggregate,2021-Q2,111.0766666666667
BEL,Aggregate,2021-Q3,112.5433333333333
BEL,Aggregate,2021-Q4,115.19
BEL,Aggregate,2022-Q1,119.0266666666667
BEL,Aggregate,2022-Q2,121.0466666666667
BEL,Aggregate,2022-Q3,124.1133333333333
BEL,Aggregate,2022-Q4,127.95
BEL,Aggregate,2023-Q1,127.4866666666667
BEL,Aggregate,2023-Q2,127.0766666666667
BEL,Aggregate,2023-Q3,128.4966666666667
BEL,Aggregate,2023-Q4,129.0033333333333
BEL,Aggregate,2024-Q1,130.94
BEL,Aggregate,2024-Q2,131.5166666666667
BEL,Aggregate,2024-Q3,132.59
BEL,Aggregate,2024-Q4,133.1133333333333
BEL,Aggregate,2025-Q1,135.5366666666667
BEN,Aggregate,2016-Q1,90.2438095997973
BEN,Aggregate,2016-Q2,92.58864279321277
BEN,Aggregate,2016-Q3,89.02567951193353
BEN,Aggregate,2016-Q4,88.62770323598683
BEN,Aggregate,2017-Q1,88.9638318474283
BEN,Aggregate,2017-Q2,90.39977327550613
BEN,Aggregate,2017-Q3,90.46162094001137
BEN,Aggregate,2017-Q4,90.8165727536935
BEN,Aggregate,2018-Q1,89.98297379731877
BEN,Aggregate,2018-Q2,91.34631144532523
BEN,Aggregate,2018-Q3,91.13761591305357
BEN,Aggregate,2018-Q4,91.48981147212193
BEN,Aggregate,2019-Q1,92.03367428800643
BEN,Aggregate,2019-Q2,91.67109907741677
BEN,Aggregate,2019-Q3,90.97616325711993
BEN,Aggregate,2019-Q4,91.943030485359
BEN,Aggregate,2020-Q1,93.8831526106097
BEN,Aggregate,2020-Q2,94.49192998576013
BEN,Aggregate,2020-Q3,95.07471041616527
BEN,Aggregate,2020-Q4,94.25619446109107
BEN,Aggregate,2021-Q1,92.99135159278823
BEN,Aggregate,2021-Q2,96.62419588362117
BEN,Aggregate,2021-Q3,97.30117313621377
BEN,Aggregate,2021-Q4,97.3369498271846
BEN,Aggregate,2022-Q1,96.82831596707237
BEN,Aggregate,2022-Q2,96.25197284838227
BEN,Aggregate,2022-Q3,96.38901996864863
BEN,Aggregate,2022-Q4,99.97477814341847
BEN,Aggregate,2023-Q1,101.5995525790672
BEN,Aggregate,2023-Q2,100.0003148127827
BEN,Aggregate,2023-Q3,98.8017448856799
BEN,Aggregate,2023-Q4,99.70818291215403
BEN,Aggregate,2024-Q1,101.2793421580425
BEN,Aggregate,2024-Q2,102.0951363818693
BEN,Aggregate,2024-Q3,100.9469815483353
BEN,Aggregate,2024-Q4,100.4333333333333
BEN,Aggregate,2025-Q1,101.7333333333333
BFA,Aggregate,2016-Q1,80.87071271761883
BFA,Aggregate,2016-Q2,81.88753254709757
BFA,Aggregate,2016-Q3,82.9982539439424
BFA,Aggregate,2016-Q4,82.95801041507123
BFA,Aggregate,2017-Q1,81.99216572216263
BFA,Aggregate,2017-Q2,83.30947056721293
BFA,Aggregate,2017-Q3,84.5194593352734
BFA,Aggregate,2017-Q4,83.76824679634453
BFA,Aggregate,2018-Q1,83.71190585592487
BFA,Aggregate,2018-Q2,85.42628018583753
BFA,Aggregate,2018-Q3,86.45651452494003
BFA,Aggregate,2018-Q4,84.5194593352734
BFA,Aggregate,2019-Q1,82.16118854342167
BFA,Aggregate,2019-Q2,82.91240108235053
BFA,Aggregate,2019-Q3,82.19606626844333
BFA,Aggregate,2019-Q4,81.8472890182264
BFA,Aggregate,2020-Q1,81.95192219329147
BFA,Aggregate,2020-Q2,83.48922499617093
BFA,Aggregate,2020-Q3,84.92189462398527
BFA,Aggregate,2020-Q4,84.95677234900697
BFA,Aggregate,2021-Q1,83.91044059835607
BFA,Aggregate,2021-Q2,86.37066166334813
BFA,Aggregate,2021-Q3,87.29089702353603
BFA,Aggregate,2021-Q4,89.99794506560473
BFA,Aggregate,2022-Q2,100.2546791239087
BFA,Aggregate,2022-Q3,103.4446495124317
BFA,Aggregate,2022-Q4,101.0219890743861
BFA,Aggregate,2023-Q1,97.75958033389493
BFA,Aggregate,2023-Q2,99.96897551088223
BFA,Aggregate,2023-Q3,101.4846429043524
BFA,Aggregate,2023-Q4,100.9764352348088
BFA,Aggregate,2024-Q1,100.8885722250472
BFA,Aggregate,2024-Q2,103.1523449250702
BFA,Aggregate,2024-Q3,106.9664143122326
BFA,Aggregate,2024-Q4,105.9535185890106
BFA,Aggregate,2025-Q1,102.880389363213
BGD,Aggregate,2016-Q1,72.44894593641433
BGD,Aggregate,2016-Q2,71.96790313701597
BGD,Aggregate,2016-Q3,73.77831421313003
BGD,Aggregate,2016-Q4,75.2506952139912
BGD,Aggregate,2017-Q1,76.27670316676203
BGD,Aggregate,2017-Q2,76.08601953456807
BGD,Aggregate,2017-Q3,78.10336568880173
BGD,Aggregate,2017-Q4,79.71225883543813
BGD,Aggregate,2018-Q1,80.6710941450497
BGD,Aggregate,2018-Q2,80.3330640697968
BGD,Aggregate,2018-Q3,82.37532910778307
BGD,Aggregate,2018-Q4,83.9939731219748
BGD,Aggregate,2019-Q1,85.09148743681837
BGD,Aggregate,2019-Q2,84.81087913716933
BGD,Aggregate,2019-Q3,86.9506528507093
BGD,Aggregate,2019-Q4,88.82715314025423
BGD,Aggregate,2020-Q1,89.77515415258207
